STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNOW,TAVG,TMAX,TMIN
GHCND:USW00023293,15.5,37.3591,-121.924,20160423,0.00,-9999,-9999,68,48
GHCND:USW00023293,15.5,37.3591,-121.924,20160424,0.00,-9999,-9999,68,51
GHCND:USW00023293,15.5,37.3591,-121.924,20160425,0.00,-9999,-9999,66,47
GHCND:USW00023293,15.5,37.3591,-121.924,20160426,0.00,-9999,-9999,69,45
GHCND:USW00023293,15.5,37.3591,-121.924,20160427,0.06,-9999,-9999,63,49
GHCND:USW00023293,15.5,37.3591,-121.924,20160428,0.00,-9999,-9999,73,49
GHCND:USW00023293,15.5,37.3591,-121.924,20160429,0.00,-9999,-9999,71,51
GHCND:USW00023293,15.5,37.3591,-121.924,20160430,0.00,-9999,-9999,78,50
GHCND:USW00023293,15.5,37.3591,-121.924,20160501,0.00,-9999,-9999,84,54
GHCND:USW00023293,15.5,37.3591,-121.924,20160502,0.00,-9999,-9999,74,52
GHCND:USW00023293,15.5,37.3591,-121.924,20160503,0.00,-9999,-9999,73,55
GHCND:USW00023293,15.5,37.3591,-121.924,20160504,0.00,-9999,-9999,72,56
GHCND:USW00023293,15.5,37.3591,-121.924,20160505,0.00,-9999,-9999,71,55
GHCND:USW00023293,15.5,37.3591,-121.924,20160506,0.17,-9999,-9999,61,54
GHCND:USW00023293,15.5,37.3591,-121.924,20160507,0.01,-9999,-9999,65,54
GHCND:USW00023293,15.5,37.3591,-121.924,20160508,0.00,-9999,-9999,71,56
GHCND:USW00023293,15.5,37.3591,-121.924,20160509,0.00,-9999,-9999,72,56
GHCND:USW00023293,15.5,37.3591,-121.924,20160510,0.00,-9999,-9999,75,56
GHCND:USW00023293,15.5,37.3591,-121.924,20160511,0.00,-9999,-9999,73,53
GHCND:USW00023293,15.5,37.3591,-121.924,20160512,0.00,-9999,-9999,71,57
GHCND:USW00023293,15.5,37.3591,-121.924,20160513,0.00,-9999,-9999,70,53
GHCND:USW00023293,15.5,37.3591,-121.924,20160514,0.00,-9999,-9999,74,51
GHCND:USW00023293,15.5,37.3591,-121.924,20160515,0.00,-9999,-9999,73,58
GHCND:USW00023293,15.5,37.3591,-121.924,20160516,0.00,-9999,-9999,79,55
GHCND:USW00023293,15.5,37.3591,-121.924,20160517,0.00,-9999,-9999,89,56
GHCND:USW00023293,15.5,37.3591,-121.924,20160518,0.00,-9999,-9999,88,60
GHCND:USW00023293,15.5,37.3591,-121.924,20160519,0.00,-9999,-9999,73,55
GHCND:USW00023293,15.5,37.3591,-121.924,20160520,0.00,-9999,-9999,65,53
GHCND:USW00023293,15.5,37.3591,-121.924,20160521,0.14,-9999,-9999,63,52
GHCND:USW00023293,15.5,37.3591,-121.924,20160522,0.00,-9999,-9999,69,48
GHCND:USW00023293,15.5,37.3591,-121.924,20160523,0.00,-9999,-9999,70,50
GHCND:USW00023293,15.5,37.3591,-121.924,20160524,0.00,-9999,-9999,70,55
GHCND:USW00023293,15.5,37.3591,-121.924,20160525,0.00,-9999,-9999,72,56
